hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Tam Chuc Complex,"20.542914,105.799677",,,Deluxe Twin Room,,2,5 out of 5,,,,"VND 792,000",Breakfast included
Vinpearl Condotel Phu Ly,"20.5434988362709,105.916968440475",,,Deluxe Twin City View,,2,5 out of 5,9.3,Superb,119 reviews,"VND 1,000,000",Breakfast included
Muong Thanh Luxury Ha Nam,"20.5417239672533,105.912112779915",,,Deluxe Twin Room,,2,5 out of 5,8.7,Fabulous,43 reviews,"VND 920,000",Breakfast included
Lagalo Hotel Ha Nam,"20.536027,105.912802",,,Deluxe Double Room,,2,4 out of 5,7.2,Good,17 reviews,"VND 660,250",Breakfast included
Khách sạn INCO 515.9,"20.54902,105.915813",,,Standard Twin Room,,2,3 out of 5,,,,"VND 880,000",Breakfast included
Thanh Dat Hotel,"20.6440301158904,105.924478702408",,,Standard Double Room,,2,3 out of 5,,,,"VND 799,994","Breakfast included,FREE cancellation,• No prepayment needed"
ĐTT Galaxy Tam Chúc,"20.542914,105.799677",,,Superior King Room,,2,3 out of 5,,,,"VND 400,000",Breakfast included
